sl_no,Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,State
1,42,Kurnool,Kurnool,Arhar (Tur/Red Gram)(Whole),Local,Non-FAQ,2469.0,6440.0,6316.0,13 Aug 2025,Andhra Pradesh
2,388,Chittor,Puttur,Mango,Totapuri,Medium,700.0,1500.0,1100.0,05 Jun 2025,Andhra Pradesh
3,256,Chittor,Palamaner,Green Chilli,Green Chilly,FAQ,2000.0,4000.0,2500.0,17 Dec 2024,Andhra Pradesh
4,382,Krishna,Tiruvuru,Maize,Hybrid/Local,Non-FAQ,2100.0,2250.0,2225.0,27 May 2025,Andhra Pradesh
5,51,Chittor,Palamaner,Cabbage,Cabbage,FAQ,600.0,1100.0,900.0,08 Feb 2025,Andhra Pradesh
6,148,Kurnool,Adoni,Cotton,Bunny,FAQ,4780.0,7966.0,7460.0,07 Apr 2025,Andhra Pradesh
7,398,East Godavari,Rajahmundry,Mango,Raspuri,Medium,2000.0,3500.0,3000.0,01 Jun 2025,Andhra Pradesh
8,334,Krishna,Tiruvuru,Maize,Hybrid/Local,FAQ,2225.0,2300.0,2275.0,01 Apr 2025,Andhra Pradesh
9,222,Kurnool,Adoni,Groundnut,Balli/Habbu,FAQ,5392.0,6456.0,6080.0,24 May 2025,Andhra Pradesh
10,379,Krishna,Tiruvuru,Cotton,Bunny,FAQ,7300.0,7500.0,7400.0,12 Nov 2024,Andhra Pradesh
11,1109,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,3200.0,3500.0,3500.0,11 Dec 2024,Andhra Pradesh
12,758,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4130.0,5230.0,4680.0,24 Oct 2024,Andhra Pradesh
13,376,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,3200.0,3500.0,3500.0,26 Aug 2024,Andhra Pradesh
14,101,Chittor,Palamaner,Cabbage,Cabbage,FAQ,630.0,930.0,830.0,26 Jul 2025,Andhra Pradesh
15,428,Kurnool,Adoni,Groundnut,Balli/Habbu,FAQ,3491.0,5616.0,5396.0,27 Dec 2024,Andhra Pradesh
16,1183,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3300.0,3700.0,3500.0,05 May 2025,Andhra Pradesh
17,561,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4350.0,4950.0,4650.0,27 Aug 2024,Andhra Pradesh
18,649,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3250.0,3500.0,3375.0,11 Oct 2024,Andhra Pradesh
19,993,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2800.0,3080.0,2940.0,03 Apr 2025,Andhra Pradesh
20,241,Krishna,Tiruvuru,Maize,Hybrid/Local,FAQ,2400.0,2600.0,2500.0,25 Sep 2024,Andhra Pradesh
21,86,Chittor,Palamaner,Cabbage,Cabbage,FAQ,360.0,560.0,460.0,27 May 2025,Andhra Pradesh
22,506,Krishna,Tiruvuru,Maize,Hybrid/Local,FAQ,2250.0,2400.0,2350.0,14 Jul 2025,Andhra Pradesh
23,600,Krishna,Tiruvuru,Maize,Hybrid/Local,Non-FAQ,2100.0,2250.0,2225.0,14 May 2025,Andhra Pradesh
24,280,Chittor,Puttur,Mango,Totapuri,Medium,800.0,1050.0,1000.0,18 Jun 2025,Andhra Pradesh
25,133,Krishna,Mylavaram,Maize,Deshi Red,FAQ,2225.0,2225.0,2225.0,29 Mar 2025,Andhra Pradesh
26,300,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3760.0,4000.0,3880.0,05 Aug 2025,Andhra Pradesh
27,169,Kurnool,Kurnool,Maize,Local,FAQ,2110.0,2250.0,2139.0,19 May 2025,Andhra Pradesh
28,403,Kurnool,Kurnool,Arhar (Tur/Red Gram)(Whole),Local,Non-FAQ,2900.0,6936.0,6425.0,24 Feb 2025,Andhra Pradesh
29,37,Kurnool,Kurnool,Bajra(Pearl Millet/Cumbu),Local,Non-FAQ,2200.0,2200.0,2200.0,16 Apr 2025,Andhra Pradesh
30,98,Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,600.0,1500.0,1000.0,26 Sep 2024,Andhra Pradesh
31,292,Krishna,Tiruvuru,Cotton,Bunny,FAQ,7300.0,7380.0,7340.0,21 Feb 2025,Andhra Pradesh
32,208,Nellore,Atmakur(SPS),Cotton,Local,FAQ,7121.0,7600.0,7521.0,25 Jun 2025,Andhra Pradesh
33,74,Krishna,Tiruvuru,Cotton,Bunny,FAQ,7200.0,7500.0,7300.0,22 Oct 2024,Andhra Pradesh
34,34,Krishna,Tiruvuru,Maize,Hybrid/Local,Non-FAQ,2150.0,2250.0,2225.0,30 Jun 2025,Andhra Pradesh
35,117,Chittor,Palamaner,Green Chilli,Green Chilly,FAQ,2000.0,3000.0,2500.0,04 Jun 2025,Andhra Pradesh
36,843,Kurnool,Yemmiganur,Groundnut,TMV-2,FAQ,3368.0,6670.0,5810.0,11 Mar 2025,Andhra Pradesh
37,199,Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,600.0,1000.0,800.0,25 Apr 2025,Andhra Pradesh
38,175,Chittor,Palamaner,Brinjal,Brinjal,FAQ,2000.0,3000.0,2500.0,09 Oct 2024,Andhra Pradesh
39,72,Cuddapah,Cuddapah,Groundnut,Local,Non-FAQ,4569.0,6509.0,6509.0,11 Jul 2025,Andhra Pradesh
40,30,Kurnool,Kurnool,Bajra(Pearl Millet/Cumbu),Local,Non-FAQ,2349.0,2349.0,2349.0,19 Apr 2025,Andhra Pradesh
41,588,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,3200.0,3500.0,3500.0,02 Dec 2024,Andhra Pradesh
42,88,Kurnool,Nandyal,Jowar(Sorghum),Jowar (Yellow),Non-FAQ,2000.0,2000.0,2000.0,05 Mar 2025,Andhra Pradesh
43,851,Kurnool,Yemmiganur,Groundnut,TMV-2,Non-FAQ,2280.0,4890.0,3920.0,04 Mar 2025,Andhra Pradesh
44,13,Chittor,Palamaner,Green Chilli,Green Chilly,FAQ,2000.0,3000.0,2500.0,06 Mar 2025,Andhra Pradesh
45,320,Krishna,Mylavaram,Maize,Deshi Red,Non-FAQ,1700.0,2000.0,1800.0,04 Mar 2025,Andhra Pradesh
46,308,Kurnool,Adoni,Cotton,Bunny,FAQ,5366.0,7349.0,7179.0,28 Nov 2024,Andhra Pradesh
47,395,Kurnool,Adoni,Cotton,Bunny,FAQ,7159.0,7979.0,7969.0,21 Jun 2025,Andhra Pradesh
48,876,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,3400.0,3500.0,3500.0,11 May 2025,Andhra Pradesh
49,169,Kurnool,Adoni,Cotton,Bunny,FAQ,4480.0,8032.0,7829.0,27 Jun 2025,Andhra Pradesh
50,9,Kurnool,Kurnool,Maize,Local,FAQ,2197.0,2243.0,2219.0,14 May 2025,Andhra Pradesh
51,501,Nellore,Gudur,Groundnut,Balli/Habbu,FAQ,6500.0,6600.0,6550.0,04 Sep 2024,Andhra Pradesh
52,48,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3280.0,3880.0,3580.0,29 Nov 2024,Andhra Pradesh
53,223,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2930.0,3090.0,3010.0,07 Dec 2024,Andhra Pradesh
54,457,Chittor,Puttur,Mango,Totapuri,Medium,800.0,1200.0,1000.0,17 Jun 2025,Andhra Pradesh
55,1090,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,3400.0,3500.0,3500.0,02 Apr 2025,Andhra Pradesh
56,127,Chittor,Chittoor,Mango,Totapuri,Large,800.0,1000.0,950.0,22 Jun 2025,Andhra Pradesh
57,996,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2870.0,3240.0,3055.0,14 Feb 2025,Andhra Pradesh
58,96,Chittor,Tirupati,Mango,Totapuri,Medium,1500.0,1800.0,1650.0,21 May 2025,Andhra Pradesh
59,29,Chittor,Palamaner,Cabbage,Cabbage,FAQ,500.0,900.0,700.0,01 Oct 2024,Andhra Pradesh
60,972,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,4400.0,5100.0,4750.0,18 Sep 2024,Andhra Pradesh
61,118,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3500.0,4220.0,3860.0,18 Sep 2024,Andhra Pradesh
62,1094,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,3400.0,3500.0,3500.0,12 Jul 2025,Andhra Pradesh
63,85,Kurnool,Kurnool,Maize,Local,FAQ,1609.0,2245.0,2245.0,10 Mar 2025,Andhra Pradesh
64,66,Kurnool,Nandyal,Jowar(Sorghum),Jowar (Yellow),Non-FAQ,2000.0,2000.0,2000.0,29 Mar 2025,Andhra Pradesh
65,218,Kurnool,Adoni,Groundnut,Balli/Habbu,FAQ,3711.0,6855.0,4591.0,21 Oct 2024,Andhra Pradesh
66,207,Chittor,Palamaner,Cabbage,Cabbage,FAQ,500.0,1500.0,1100.0,07 Jul 2025,Andhra Pradesh
67,89,Chittor,Palamaner,Green Chilli,Green Chilly,FAQ,2000.0,3000.0,2500.0,07 Jun 2025,Andhra Pradesh
68,29,Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,600.0,1000.0,800.0,28 Feb 2025,Andhra Pradesh
69,469,Krishna,Tiruvuru,Maize,Hybrid/Local,FAQ,2300.0,2400.0,2340.0,03 Mar 2025,Andhra Pradesh
70,154,Chittor,Chittoor,Mango,Totapuri,Large,1000.0,1200.0,1150.0,17 Jun 2025,Andhra Pradesh
71,794,Kurnool,Yemmiganur,Groundnut,TMV-2,Non-FAQ,3040.0,4455.0,4068.0,04 Feb 2025,Andhra Pradesh
72,627,Kurnool,Nandyal,Maize,Deshi Red,FAQ,2690.0,2690.0,2690.0,04 Feb 2025,Andhra Pradesh
73,788,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3740.0,4280.0,4010.0,29 Apr 2025,Andhra Pradesh
74,240,Chittor,Chittoor,Mango,Totapuri,Large,400.0,600.0,500.0,17 Jul 2025,Andhra Pradesh
75,539,Krishna,Mylavaram,Maize,Deshi Red,Non-FAQ,1800.0,2180.0,2050.0,10 Apr 2025,Andhra Pradesh
76,451,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3160.0,3800.0,3480.0,19 Dec 2024,Andhra Pradesh
77,160,Chittor,Palamaner,Green Chilli,Green Chilly,FAQ,2000.0,3000.0,2500.0,13 Dec 2024,Andhra Pradesh
78,200,Anantapur,Tenakallu,Groundnut,Balli/Habbu,FAQ,7000.0,8000.0,7500.0,03 Dec 2024,Andhra Pradesh
79,195,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3620.0,4140.0,3880.0,26 Feb 2025,Andhra Pradesh
80,383,Kurnool,Adoni,Cotton,Bunny,FAQ,4006.0,7711.0,7424.0,16 Aug 2024,Andhra Pradesh
81,1077,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,3200.0,3500.0,3500.0,21 Nov 2024,Andhra Pradesh
82,585,Kurnool,Nandyal,Maize,Deshi Red,Non-FAQ,2000.0,2516.0,2000.0,03 Apr 2025,Andhra Pradesh
83,334,Kurnool,Adoni,Cotton,Bunny,FAQ,4670.0,7422.0,7229.0,12 Feb 2025,Andhra Pradesh
84,186,Cuddapah,Cuddapah,Groundnut,Local,Non-FAQ,4269.0,6779.0,5529.0,14 Jul 2025,Andhra Pradesh
85,249,Krishna,Tiruvuru,Maize,Hybrid/Local,Non-FAQ,2225.0,2310.0,2265.0,16 Mar 2025,Andhra Pradesh
86,221,East Godavari,Rajahmundry,Mango,Raspuri,Medium,2600.0,3000.0,2800.0,16 Jun 2025,Andhra Pradesh
87,87,Kurnool,Adoni,Cotton,Bunny,FAQ,4610.0,7594.0,7389.0,25 Feb 2025,Andhra Pradesh
88,303,Kurnool,Adoni,Cotton,Bunny,FAQ,4216.0,7555.0,7360.0,04 Oct 2024,Andhra Pradesh
89,30,Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,600.0,1200.0,1000.0,28 Jun 2025,Andhra Pradesh
90,54,Chittor,Palamaner,Cabbage,Cabbage,FAQ,800.0,1200.0,1000.0,22 Aug 2024,Andhra Pradesh
91,168,Kurnool,Kurnool,Maize,Local,FAQ,1819.0,2259.0,2149.0,22 Feb 2025,Andhra Pradesh
92,225,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3010.0,3260.0,3135.0,16 Apr 2025,Andhra Pradesh
