ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
1195919-20050216,1564669,221795,1,"GRACE & WILD, INC.","INGEAR DIVISION, GRACE & WILD INC.",23689  INDUSTRIAL PARK DR,FARMINGTON,MI,48335,,,,,1010,Limited Business License,,,1195919.0,RENEW,,12/20/2004,02/14/2005,N,02/16/2005,02/15/2006,02/14/2005,02/15/2005,AAI,,,,,
26287-20040816,1504166,52981,1,ROBERT J BARTOLO,BART'S COINS & COLLECTIBLES,3939 N PULASKI RD  1,CHICAGO,IL,60641,45.0,27.0,45-27,17.0,1683,Secondhand Dealer,624,Buying and Reselling of Used Valuable Objects,26287.0,RENEW,,06/30/2004,07/19/2004,N,08/16/2004,08/15/2005,07/19/2004,07/20/2004,AAI,,,41.953009006,-87.727450516,"(41.95300900551782, -87.72745051562994)"
1547400-20060216,1682570,60448,4,"PINNACLE WASTE SERVICE, INC",PINNACLE WASTE SERVICES,5859 W OGDEN AVE,CICERO,IL,60804,,,,,1676,"Scavenger, Private",,,1547400.0,RENEW,,03/24/2006,10/12/2011,N,02/16/2006,02/15/2007,,12/19/2006,AAI,,,,,
1121041-20030216,1314780,39524,2,"ELITE HOME BUILDERS, INC.",ELITE HOME BUILDERS INC.,2400 W 95TH ST  400,EVERGREEN PARK,IL,60805,,,,,1011,Home Repair,,,1121041.0,RENEW,,12/17/2002,01/08/2003,N,02/16/2003,02/15/2004,01/24/2003,01/27/2003,AAI,,,,,
1195647-20020216,1220670,220858,1,DANIEL & GERARD CONSTRUCTION,DANIEL & GERARD CONSTRUCTION,1812  CHURCH,EVANSTON,IL,60201,,,,,1011,Home Repair,,,1195647.0,RENEW,,12/21/2001,02/14/2002,N,02/16/2002,02/15/2003,02/14/2002,02/15/2002,AAI,,,,,
1938574-20141116,2357605,338579,1,MADISON STREET HOME SOLUTIONS INC.,MADISON STREET HOME SOLUTIONS INC.,641 S YALE,ADDISON,IL,60101,,,,,1010,Limited Business License,,,1938574.0,RENEW,,09/15/2014,10/11/2014,N,11/16/2014,11/15/2016,10/11/2014,10/14/2014,AAI,,,,,
1473691-20040112,1473691,272029,1,RENAISSANCE GROUP LLC.,RENAISSANCE GROUP LC,1950 E GREYHOUND,CARMI,IN,46033,,,,,1010,Limited Business License,,,1473691.0,ISSUE,01/08/2004,01/09/2004,01/09/2004,N,01/12/2004,02/15/2005,01/09/2004,01/12/2004,AAI,,,,,
2021799-20140216,2302703,351244,1,"Vinyl Touch Graphics, Inc.","Vinyl Touch Graphics, Inc.",7916 W GRAND AVENUE,ELMWOOD PARK,IL,60707,,,,,1010,Limited Business License,,,2021799.0,RENEW,,12/15/2013,01/06/2014,N,02/16/2014,02/15/2016,01/06/2014,01/07/2014,AAI,,,,,
1479701-20051116,1640996,274295,1,"NEIGHBORHOOD FOOD MART, INC.",NEIGHBORHOOD FOOD MART INC,2748 W MADISON ST,CHICAGO,IL,60612,27.0,56.0,27-56,12.0,1781,Tobacco,763,Retail Sale of Tobacco,1479701.0,RENEW,,09/22/2005,11/01/2005,N,11/16/2005,11/15/2006,11/01/2005,12/15/2005,AAI,,,41.88119124,-87.695806048,"(41.88119123980771, -87.69580604798641)"
3361-20050816,1608234,85406,1,CHICAGO TUBE & IRON CO,CHICAGO TUBE & IRON CO,1  CHICAGO TUBE DR,ROMEOVILLE,IL,60446,,,,,1010,Limited Business License,,,3361.0,RENEW,,06/21/2005,07/11/2005,N,08/16/2005,08/15/2006,07/11/2005,07/12/2005,AAI,,,,,
13537-20080116,1875774,6290,1,CIMINO MACHINERY CORP,ACME METALLIZING CO,5958 S CENTRAL AVE,CHICAGO,IL,60638,13.0,17.0,13-17,8.0,1009,Manufacturing Establishments,,,13537.0,RENEW,,11/26/2007,01/11/2008,N,01/16/2008,01/15/2010,01/11/2008,01/14/2008,AAI,,,41.783625903,-87.762097256,"(41.783625903302124, -87.76209725573736)"
1478536-20050216,1570076,273798,1,HOWARD KENNETH,INTEGRITY WINDOWS,1   VILLA VERDE,BUFFALO GROVE,IL,60089,,,,,1011,Home Repair,,,1478536.0,RENEW,,12/20/2004,03/08/2005,N,02/16/2005,02/15/2006,03/08/2005,03/09/2005,AAI,,,,,
1353287-20100516,2024632,261833,1,DANIELS HEATING & COOLING,DANIELS HEATING & COOLING,228  ELM ST,GLENVIEW,IL,60025,,,,,1010,Limited Business License,,,1353287.0,RENEW,,03/15/2010,03/31/2010,N,05/16/2010,05/15/2012,03/31/2010,04/01/2010,AAI,,,,,
1618489-20070816,1838147,294089,1,"CLIMATEGUARD DESIGN & INSTALLATION, LLC",CLIMATEGUARD DESIGN AND INSTALLATION LLC,155 W 84TH ST 1,CHICAGO,IL,60620,21.0,37.0,21-37,6.0,1010,Limited Business License,,,1618489.0,RENEW,,06/21/2007,07/17/2007,N,08/16/2007,07/15/2008,07/17/2007,07/18/2007,AAI,,,41.741645964,-87.628861186,"(41.7416459642391, -87.6288611862979)"
2270414-20130627,2270414,382636,1,"Mnet Financial, Inc.","Mnet Financial, Inc.",95  ARGONAUT  2ND 200,ALISO VIEJO,CA,92656,,,,,4404,Regulated Business License,912,Debt Collecting - Administrative Commercial Office,2270414.0,ISSUE,,06/26/2013,06/26/2013,N,06/27/2013,07/15/2015,06/26/2013,06/27/2013,AAI,,,,,
86024-20100316,2015380,66678,2,SHEFFIELD DEVELOPMENT CO,SHEFFIELD DEVELOPMENT CO,918 N VINE ST 1ST,OAKBROOK,IL,60521,,,,,1010,Limited Business License,,,86024.0,RENEW,,01/15/2010,03/13/2010,N,03/16/2010,03/15/2012,03/13/2010,03/15/2010,AAI,,,,,
2333511-20160416,2451099,389281,2,"CORELOGIC TAX COLLECTION SERVICES, LLC","CORELOGIC TAX COLLECTION SERVICES, LLC",2380  PERFORMANCE DR M.S. TX2-984-04-13 C,RICHARDSON,TX,75082,,,,,4404,Regulated Business License,912,Debt Collecting - Administrative Commercial Office,2333511.0,RENEW,,02/15/2016,03/23/2016,N,04/16/2016,04/15/2018,03/23/2016,03/24/2016,AAC,01/10/2017,,,,
31295-20021116,1281101,14314,4,WATER TOWER PLACE RESTAURANTS LIMITED PARTNERSHIP,FOOD LIFE / FOODEASE,835 N MICHIGAN AVE  MEZZA,CHICAGO,IL,60611,2.0,37.0,2-37,18.0,1474,Package Goods,774,Retail Sales of Packaged Liquor,31295.0,RENEW,09/24/2002,11/01/2002,11/01/2002,N,11/16/2002,05/15/2003,11/01/2002,11/01/2002,AAI,,,41.897740856,-87.623961316,"(41.897740856252504, -87.62396131598219)"
2569952-20171211,2569952,395192,2,"Atlantic Recovery Solutions, LLC","Atlantic Recovery Solutions, LLC",33  DODGE RD  108,GETZVILLE,NY,14068,,,,,4404,Regulated Business License,912,Debt Collecting - Administrative Commercial Office,2569952.0,C_LOC,12/05/2017,12/05/2017,12/08/2017,N,12/11/2017,12/15/2018,12/08/2017,12/11/2017,AAI,,,,,
1070438-20050216,1562914,206081,1,ORLEY ORVEL BETCHER,ORLEY O BETCHER,10705 S ROBERTS RD,PALOS HILLS,IL,60465,,,,,1046,Automatic Amusement Device Operator,,,1070438.0,RENEW,,12/20/2004,02/01/2005,N,02/16/2005,02/15/2006,02/01/2005,02/02/2005,AAI,,,,,
2411353-20150619,2411353,399327,1,PHILLIP J. CEROPSKI,PHILLIP J. CEROPSKI,510 N LOCKWOOD DR,LOCKPORT,IL,60441,,,,,4406,Peddler License,819,"Street Performer, Moving Along the Public Way",2411353.0,ISSUE,06/19/2015,06/19/2015,06/19/2015,N,06/19/2015,07/15/2017,,06/19/2015,AAI,,,41.889284462,-87.757988004,"(41.88928446191391, -87.7579880042221)"
2427924-20171016,2555185,401354,1,G & R HEATING AND AIR LLC,G & R HEATING AND AIR LLC,131  GLENBROOK CIR,GILBERTS,IL,60136,,,,,4404,Regulated Business License,902 | 901,"Heating, Ventilation and Air Conditioning Services - Commercial | Heating, Ventilation and Air Conditioning Services - Residential",2427924.0,RENEW,,08/31/2017,09/09/2017,N,10/16/2017,10/15/2019,09/09/2017,09/11/2017,AAI,,,,,
2278433-20130730,2278433,383736,1,"Mosaic Construction, LLC",Design Construction Concepts,425  HUEHL  RD  15B,NORTHBROOK,IL,60062,,,,,4404,Regulated Business License,673,Home Repair Services,2278433.0,ISSUE,,07/29/2013,07/29/2013,N,07/30/2013,08/15/2015,07/29/2013,07/30/2013,AAI,,,,,
1381960-20030730,1381960,260176,2,INNOVATIVE REAL ESTATE SOLUTIONS,INNOVATIVE REAL ESTATE SOLUTIONS,24  CARRINGTON CT,HAZEL CREST,IL,60429,,,,,1010,Limited Business License,,,1381960.0,C_LOC,07/29/2003,07/29/2003,07/29/2003,N,07/30/2003,02/15/2004,07/29/2003,07/30/2003,AAI,,,,,
1520670-20051116,1642130,281915,1,ANGELA L. WHITSON,NAP CHASERS BARBER AND BEAUTY SALON,7428 S VINCENNES AVE,CHICAGO,IL,60621,6.0,48.0,6-48,7.0,1010,Limited Business License,,,1520670.0,RENEW,,09/22/2005,11/10/2005,N,11/16/2005,11/15/2006,11/10/2005,11/14/2005,AAI,,,41.759182593,-87.631035809,"(41.75918259323902, -87.63103580883026)"
16554-20100316,2014858,28074,1,W L RICHMOND BILMAR GROUP INC,W L RICHMOND-BILMAR GROUP INC,1320  GOLFVIEW  1ST,AURORA,IL,60506,,,,,1010,Limited Business License,,,16554.0,RENEW,,01/15/2010,05/29/2010,N,03/16/2010,03/15/2012,05/29/2010,06/01/2010,AAI,,,,,
10310-20011116,1173700,4601,1,ABM INC OF COOK COUNTY,ABM INC OF COOK COUNTY,3100  DUNDEE RD  704,NORTHBROOK,IL,60062,,,,,1010,Limited Business License,,,10310.0,RENEW,,10/03/2001,08/09/2005,N,11/16/2001,11/15/2002,12/22/2003,08/10/2005,AAI,,,,,
1914606-20100716,2035685,333172,1,ROGER M MIRAVETE ESTUARDO,ROGER E MIRAVETE,26241 W ERIN ISLE,CHANNAHON,IL,60410,,,,,1010,Limited Business License,,,1914606.0,RENEW,,05/17/2010,05/13/2011,N,07/16/2010,07/15/2012,05/13/2011,05/13/2011,AAI,,,,,
2261825-20170616,2527075,381149,1,"BUSINESS CREDIT MANAGEMENT ASSOC, INC DBA PINNACLE MANAGEMENT SERVICES",PINNACLE MANAGEMENT SERVICES,514  MARKET LOOP ST  103,WEST DUNDEE,IL,60118,,,,,4404,Regulated Business License,912,Debt Collecting - Administrative Commercial Office,2261825.0,RENEW,,04/15/2017,06/13/2017,N,06/16/2017,06/15/2019,06/13/2017,06/14/2017,AAI,,,,,
1489421-20060216,1654039,19620,2,"TWIN CONTRACTORS, INC",TWIN CONTRACTORS INC,7968 S MADISON,BURR RIDGE,IL,60527,,,,,1010,Limited Business License,,,1489421.0,RENEW,,12/21/2005,02/10/2006,N,02/16/2006,02/15/2007,02/10/2006,08/16/2007,AAI,,,,,
30308-20050216,1558713,53524,1,EMICO PIPE SUPPORT COMPANY,EMICO PIPE SUPPORT COMPANY,10129  PACIFIC AVE 1ST,FRANKLIN PARK,IL,60131,,,,,1010,Limited Business License,,,30308.0,RENEW,,12/20/2004,02/28/2005,N,02/16/2005,02/15/2006,03/21/2005,03/22/2005,AAI,,,,,
2270807-20150716,2403770,382904,1,"I.C. System, Inc.","I.C. System, Inc.",444 E HIGHWAY 96,ST. PAUL,MN,55127,,,,,4404,Regulated Business License,912,Debt Collecting - Administrative Commercial Office,2270807.0,RENEW,,05/15/2015,06/10/2015,N,07/16/2015,07/15/2017,06/10/2015,06/11/2015,AAI,,,,,
30275-20040216,1454089,31527,1,TOPZ DAIRY PROD. CO.,CHELLINO  CHEESE CO,505  BENNETT   1,JOLIET,IL,60433,,,,,1007,Wholesale Food Establishment,864,Wholesale Food Sales,30275.0,RENEW,,12/15/2003,01/08/2004,N,02/16/2004,02/15/2005,12/22/2003,01/09/2004,AAI,,,,,
8001-20030516,1350600,86384,1,MARIGOLD FOODS INC,MARIGOLD FOODS INC,400 N BROADWAY   1,ROCHESTER,MN,55906,,,,,1007,Wholesale Food Establishment,864,Wholesale Food Sales,8001.0,RENEW,,03/25/2003,11/13/2003,N,05/16/2003,05/15/2004,11/13/2003,11/14/2003,AAI,,,,,
20245-20100416,2019251,86696,1,ARTS & ARTISANS LIMITED,ARTS & ARTISANS LTD.,720 S MICHIGAN AVE  1ST,CHICAGO,IL,60605,4.0,18.0,4-18,1.0,1010,Limited Business License,,,20245.0,RENEW,,02/11/2010,04/01/2010,N,04/16/2010,04/15/2012,04/01/2010,04/02/2010,AAI,,,41.872798869,-87.62433781,"(41.87279886935482, -87.62433781031022)"
1573300-20080516,1897387,286169,1,MARK ENNS,ENNS RENOVATION,703 S GREENWOOD,KANKAKEE,IL,60901,,,,,1011,Home Repair,,,1573300.0,RENEW,,03/24/2008,05/13/2008,N,05/16/2008,05/15/2010,05/13/2008,05/14/2008,AAI,,,,,
1474720-20110516,2086475,272446,1,"FREEMAN EXPOSITIONS, INC.","FREEMAN EXPOSITIONS, INC.",8201 W 47TH ST,MCCOOK,IL,60525,29.0,41.0,29-41,15.0,1008,Hazardous Materials,,,1474720.0,RENEW,,03/15/2011,04/13/2011,N,05/16/2011,05/15/2013,04/13/2011,04/14/2011,AAC,12/29/2012,,,,
72502-20170816,2536888,4231,1,COSMOPOLITAN CONTINENTAL CAFE INC.,LUTNIA RESTAURANT,5532 W BELMONT AVE 1,CHICAGO,IL,60641,30.0,6.0,30-6,16.0,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,72502.0,RENEW,,06/15/2017,08/16/2017,N,08/16/2017,08/15/2019,08/16/2017,08/16/2017,AAI,,2.0,41.938697817,-87.765411137,"(41.93869781741385, -87.76541113658556)"
1330217-20030103,1330217,213505,2,FLYNN'S CORNERSTONE CONSTRUCTION COMPANY,FLYNN'S CORNERSTONE CONSTRUCTION,3334 W 183 ST,HAZEL CREST,IL,60429,,,,,1010,Limited Business License,,,1330217.0,C_LOC,12/30/2002,12/30/2002,12/30/2002,N,01/03/2003,02/15/2004,01/03/2003,01/03/2003,AAI,,,,,
77346-20020816,1259470,47648,1,THOMAS MCCORMICK GALLERY,THOMAS MCCORMICK GALLERY,835 W WASHINGTON BLVD  1E,CHICAGO,IL,60607,27.0,1.0,27-1,12.0,1010,Limited Business License,,,77346.0,RENEW,,06/28/2002,07/29/2002,N,08/16/2002,08/15/2003,07/29/2002,07/30/2002,AAI,,,41.883013354,-87.648709742,"(41.88301335353073, -87.64870974220864)"
1246478-20130516,2242712,247229,1,"TORRY GRANRATH'S CUSTOM CONCRETE, INC.",CUSTOM CONCRETE INC.,3840  OHIO AVE,ST. CHARLES,IL,60174,,,,,1010,Limited Business License,,,1246478.0,RENEW,,03/15/2013,04/30/2013,N,05/16/2013,05/15/2015,04/30/2013,05/01/2013,AAI,,,,,
2102967-20110623,2102967,363198,1,"DIVERSEY BOOST, INC.",BOOST,4646 W DIVERSEY AVE 1ST,CHICAGO,IL,60639,31.0,,31-,,1010,Limited Business License,,,2102967.0,ISSUE,,06/22/2011,06/22/2011,N,06/23/2011,07/15/2013,06/22/2011,06/23/2011,AAI,,,41.931679527,-87.743800436,"(41.93167952650435, -87.74380043571831)"
1471104-20080416,1890927,271588,1,KIMISAN F COSTELLO,REVELATIONS OF BEAUTY,242 W SLADE ST,PALATINE,IL,60067,,,,,1010,Limited Business License,,,1471104.0,RENEW,,02/19/2008,05/12/2008,N,04/16/2008,04/15/2010,05/12/2008,05/13/2008,AAI,,,,,
1333131-20030402,1333131,65406,18,WASTE MANAGEMENT OF ILLINOIS INC.,WASTE MANAGEMENT METRO,3800  LARAMIE AVE  2,CICERO,IL,60804,,,,,1676,"Scavenger, Private",,,1333131.0,ISSUE,02/04/2003,02/04/2003,02/04/2003,N,04/02/2003,02/15/2004,03/01/2003,04/02/2003,AAI,,,,,
50274-20070816,1832832,87004,2,CYNTHIA VAZQUEZ,CINDY'S NEW TOUCH UNISEX,4597 S ARCHER AVE 1ST,CHICAGO,IL,60632,14.0,10.0,14-10,8.0,1010,Limited Business License,,,50274.0,RENEW,,06/21/2007,07/18/2007,N,08/16/2007,06/15/2009,07/18/2007,07/19/2007,AAI,,39.0,41.809805615,-87.71099093,"(41.80980561459591, -87.71099092992074)"
1968708-20110116,2068345,342658,1,EUDOSIO NERY BARCENAS,A & F TOWING SERVICES,2432 N MONITOR AVE 1,CHICAGO,IL,60639,30.0,17.0,30-17,25.0,1012,Home Occupation,,,1968708.0,RENEW,,11/15/2010,12/06/2010,N,01/16/2011,01/15/2013,12/06/2010,12/06/2010,AAC,12/29/2012,,41.92488145,-87.772250819,"(41.92488145021369, -87.77225081862049)"
